county_clean,County,Total_Budget,Health_Total,Health_Recurrent,Health_Development,health_share,population_2019,crude_death_rate_per_1_000_population,infant_mortality_rate,maternal_mortality_rate,under_5_mortality_rate,live_births,maternal_deaths,neonatal_deaths,still_births,health_spend_per_capita,maternal_death_rate,spend_norm,infant_mortality_norm,maternal_mortality_norm,under5_mortality_norm,infant_score,maternal_score,under5_score,outcome_score,cost_efficiency,efficiency_score,efficiency_rank,prediction
kajiado,Kajiado,9514040462,2372881866,1984975066,387906800,0.2494084269956093,1117840,8.1,29.4,495,45.5,24456,20,163.66666666666666,508.3333333333333,2122.7383757961784,1.7891648178630217,0.0827576667075682,0.2424849699398797,0.7456445993031359,0.2219419924337957,0.7575150300601203,0.25435540069686413,0.7780580075662042,0.5966428127743962,6.432274915402928,13.78574565741933,11,1
trans nzoia,Trans Nzoia,7651764487,2196553641,1488912665,707640976,0.28706498281956333,990341,8.9,31.6,287,51.1,19181.666666666668,16.666666666666668,254,407.6666666666667,2217.9770816314785,1.6829220103647802,0.09645168536177492,0.2865731462925852,0.3832752613240418,0.29255989911727615,0.7134268537074149,0.6167247386759582,0.7074401008827238,0.679197231088699,6.380333282469455,13.663293451874594,12,1
mombasa,Mombasa,13591771891,2923643133,2678037579,245605554,0.21510389936252058,1208333,9.7,30.5,190,49.2,32532.333333333332,66.33333333333333,451,865.6666666666666,2419.5673982254893,5.489656686801845,0.12543760586262465,0.2645290581162324,0.21428571428571427,0.2686002522068096,0.7354709418837676,0.7857142857142857,0.7313997477931904,0.750861658463748,5.543967302739775,11.691563780001234,13,0
kitui,Kitui,11775231412,2922385058,2387774745,534610313,0.24818069010701835,1136187,7.4,24.9,253,40.1,20637,21.666666666666668,206,456.6666666666667,2572.098658055408,1.9069630850086006,0.14736950738460394,0.1523046092184368,0.3240418118466899,0.15384615384615385,0.8476953907815632,0.6759581881533101,0.8461538461538461,0.7899358083629066,5.019624331874784,10.4554271855562,14,0
kakamega,Kakamega,14507750502,4374733790,2899873640,1474860150,0.3015445977925324,1867579,13.9,37.3,279,60.2,44818.666666666664,46.666666666666664,513.6666666666666,837.6666666666666,2342.4625089487513,2.4987787218996713,0.1143509811250714,0.4008016032064127,0.3693379790940767,0.4073139974779319,0.5991983967935872,0.6306620209059233,0.5926860025220682,0.6075154734071929,4.885489988986559,10.139205973431539,15,0
siaya,Siaya,7129591194,2214582739,1647375558,567207181,0.31061847429116424,993183,15.5,41.8,424,67.4,26548.666666666668,19,262,602.6666666666666,2229.783170875861,1.9130412018731695,0.09814923894493036,0.4909819639278556,0.6219512195121951,0.49810844892812106,0.5090180360721444,0.3780487804878049,0.5018915510718789,0.4629861225439427,4.280992885948051,8.71410631190807,16,1
nyandarua,Nyandarua,7346070488,1667687708,1539237708,128450000,0.22701765668110752,638289,11.6,30.1,466,46.5,10753.666666666666,10.333333333333334,49.666666666666664,185.33333333333334,2612.7470597174633,1.6189113917572342,0.15321418960431502,0.2565130260521042,0.6951219512195121,0.23455233291298863,0.7434869739478958,0.30487804878048785,0.7654476670870114,0.604604229938465,3.704360701751636,7.35469809242897,17,0
laikipia,Laikipia,4663400000,1700750406,1401250406,299500000,0.36470180683621395,518560,11.6,17.3,182,27.9,14421,15.333333333333334,113.66666666666667,313.3333333333333,3279.7562596420858,2.956906304638486,0.24912095719617106,0,0.20034843205574912,0,1,0.7996515679442509,1,0.9332171893147502,3.601473224754435,7.11214124987885,18,3
west pokot,West Pokot,5645490960,1531381775,1282724868,248656907,0.27125750193389736,621241,12,38,473,58.5,14312,16.666666666666668,133,399.6666666666667,2465.036555861574,2.6828021116871983,0.13197544662178395,0.4148296593186372,0.7073170731707317,0.38587641866330386,0.5851703406813629,0.29268292682926833,0.6141235813366961,0.49732561628244243,3.502898762539518,6.879752323561054,19,0
turkana,Turkana,13535455447,2344074357,1526031227,818043130,0.17318030901719977,926976,6.2,39.8,381,64.2,19906,24.666666666666668,211,375.6666666666667,2528.732520583057,2.6609822332688946,0.14113405205896937,0.4509018036072143,0.5470383275261324,0.45775535939470363,0.5490981963927857,0.45296167247386765,0.5422446406052963,0.5147681698239832,3.406036977180572,6.651401026531266,20,0
wajir,Wajir,10556115190,1938607307,1745407307,193200000,0.1836477977084295,781263,11.6,41.9,403,63.5,11565.666666666666,11.666666666666666,68.66666666666667,270,2481.376062862314,1.4933084846801483,0.13432484345268608,0.49298597194388766,0.5853658536585366,0.44892812105926855,0.5070140280561124,0.41463414634146345,0.5510718789407314,0.49090668444610247,3.401401121956083,6.640472015162836,21,0
nakuru,Nakuru,18315751744,6214866638,4908385628,1306481010,0.3393181303648052,2162202,9.5,32.8,261,52.9,54087,55,641.3333333333334,1008.6666666666666,2874.322860676292,2.543703132269788,0.19082519939705397,0.3106212424849698,0.33797909407665505,0.3152585119798234,0.6893787575150302,0.662020905923345,0.6847414880201765,0.6787137171528506,3.379624266230441,6.589133159165571,22,0
nyeri,Nyeri,7672055820,2553300734,2245729954,307570780,0.3328052863410996,759164,10.2,28.3,67,41.5,15699.666666666666,18.666666666666668,165,300,3363.3058653993075,2.4588450804657054,0.2611342437035455,0.22044088176352702,0,0.17150063051702397,0.779559118236473,1,0.8284993694829761,0.8693528292398164,3.206355705442928,6.18065317458041,23,3
kericho,Kericho,7184116063,2365396294,1984539209,380857085,0.3292536302666913,875689,13,31.1,543,48,21972.666666666668,20.666666666666668,289.6666666666667,561.6666666666666,2701.183061566378,2.3600463939442733,0.1659300727990825,0.27655310621242485,0.8292682926829268,0.25346784363177804,0.7234468937875751,0.1707317073170732,0.7465321563682219,0.54690358582429,3.1086418434491896,5.950293110068146,24,0
