Administrative Unit,Background Characteristic,Units,2019
Kirinyaga,Density,persons per sq. km,413
Muranga,Total Population,Number,1056640
Muranga,Male,Number,523940
Muranga,Female,Number,532669
Muranga,Intersex,Number,31
Muranga,Total Households,Number,318105
Muranga,Conventional,Number,317496
Muranga,Group Quarters,Number,609
Muranga,Land Area,sq. km,2523
Muranga,Density,persons per sq. km,419
Kiambu,Total Population,Number,2417735
Kiambu,Male,Number,1187146
Kiambu,Female,Number,1230454
Kiambu,Intersex,Number,135
Kiambu,Total Households,Number,795241
Kiambu,Conventional,Number,792333
Kiambu,Group Quarters,Number,2908
Kiambu,Land Area,sq. km,2539
Kiambu,Density,persons per sq. km,952
Turkana,Total Population,Number,926976
Turkana,Male,Number,478087
Turkana,Female,Number,448868
Turkana,Intersex,Number,21
Turkana,Total Households,Number,164519
Turkana,Conventional,Number,162627
Turkana,Group Quarters,Number,1892
Turkana,Land Area,sq. km,68233
Turkana,Density,persons per sq. km,14
West Pokot,Total Population,Number,621241
West Pokot,Male,Number,307013
West Pokot,Female,Number,314213
West Pokot,Intersex,Number,15
West Pokot,Total Households,Number,116182
West Pokot,Conventional,Number,115761
West Pokot,Group Quarters,Number,421
West Pokot,Land Area,sq. km,9123
West Pokot,Density,persons per sq. km,68
Samburu,Total Population,Number,310327
Samburu,Male,Number,156774
Samburu,Female,Number,153546
Samburu,Intersex,Number,7
Samburu,Total Households,Number,65910
Samburu,Conventional,Number,63951
Samburu,Group Quarters,Number,1959
Samburu,Land Area,sq. km,21090
Samburu,Density,persons per sq. km,15
Trans Nzoia,Total Population,Number,990341
Trans Nzoia,Male,Number,489107
Trans Nzoia,Female,Number,501206
Trans Nzoia,Intersex,Number,28
Trans Nzoia,Total Households,Number,223808
Trans Nzoia,Conventional,Number,222989
Trans Nzoia,Group Quarters,Number,819
Trans Nzoia,Land Area,sq. km,2495
Trans Nzoia,Density,persons per sq. km,397
Uasin Gishu,Total Population,Number,1163186
Uasin Gishu,Male,Number,580269
Uasin Gishu,Female,Number,582889
Uasin Gishu,Intersex,Number,28
Uasin Gishu,Total Households,Number,304943
Uasin Gishu,Conventional,Number,301110
Uasin Gishu,Group Quarters,Number,3833
Uasin Gishu,Land Area,sq. km,3399
Uasin Gishu,Density,persons per sq. km,342
Elgeyo Marakwet,Total Population,Number,454480
Elgeyo Marakwet,Male,Number,227317
Elgeyo Marakwet,Female,Number,227151
Elgeyo Marakwet,Intersex,Number,12
Elgeyo Marakwet,Total Households,Number,99861
Elgeyo Marakwet,Conventional,Number,99119
Elgeyo Marakwet,Group Quarters,Number,742
Elgeyo Marakwet,Land Area,sq. km,3032
Elgeyo Marakwet,Density,persons per sq. km,150
Nandi,Total Population,Number,885711
Nandi,Male,Number,441259
Nandi,Female,Number,444430
Nandi,Intersex,Number,22
Nandi,Total Households,Number,199426
Nandi,Conventional,Number,199040
Nandi,Group Quarters,Number,386
Nandi,Land Area,sq. km,2849
Nandi,Density,persons per sq. km,311
Baringo,Total Population,Number,666763
Baringo,Male,Number,336322
Baringo,Female,Number,330428
Baringo,Intersex,Number,13
Baringo,Total Households,Number,142518
Baringo,Conventional,Number,141877
Baringo,Group Quarters,Number,641
Baringo,Land Area,sq. km,10985
Baringo,Density,persons per sq. km,61
Laikipia,Total Population,Number,518560
Laikipia,Male,Number,259440
Laikipia,Female,Number,259102
Laikipia,Intersex,Number,18
Laikipia,Total Households,Number,149271
Laikipia,Conventional,Number,145776
Laikipia,Group Quarters,Number,3495
Laikipia,Land Area,sq. km,9508
Laikipia,Density,persons per sq. km,55
Nakuru,Total Population,Number,2162202
Nakuru,Male,Number,1077272
Nakuru,Female,Number,1084835
Nakuru,Intersex,Number,95
Nakuru,Total Households,Number,616046
Nakuru,Conventional,Number,598237
Nakuru,Group Quarters,Number,17809
Nakuru,Land Area,sq. km,7505
Nakuru,Density,persons per sq. km,288
Narok,Total Population,Number,1157873
Narok,Male,Number,579042
Narok,Female,Number,578805
Narok,Intersex,Number,26
Narok,Total Households,Number,241125
Narok,Conventional,Number,238115
